dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 8192
codebook_dim: 32
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.5
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: vanilla_vq
use_multiscale: True
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-vanilla_vq_transplant_True_ImageNet_model_8192_32_1_loss_1.0_1.0_0.0_0.2.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/checkpoint/
data_pre: ImageNet
model_pre: model_8192_32_1
loss_pre: loss_1.0_1.0_0.0_0.5
training_pre: vanilla_vq_refinement_True
saver_name_pre: vanilla_vq_refinement_True_ImageNet_model_8192_32_1_loss_1.0_1.0_0.0_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant3/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss 0.1113, rec_loss 0.0325, lpips_loss 0.2073, g_loss -0.0632, disc_weight 0.5000, disc_adaptive_weight 2.0471, d_loss 2.5515, logits_real 0.0722, logits_fake 0.0633,
Train Epoch: [2/5] Iters:[4740/20018] gen_loss 0.2990, rec_loss 0.0358, lpips_loss 0.2030, g_loss 0.0192, disc_weight 0.5000, disc_adaptive_weight 3.1419, d_loss 0.5004, logits_real -0.0192, logits_fake -0.0192,
Train Epoch: [2/5] Iters:[4750/20018] gen_loss 0.2964, rec_loss 0.0356, lpips_loss 0.2026, g_loss 0.0187, disc_weight 0.5000, disc_adaptive_weight 3.1142, d_loss 0.5004, logits_real -0.0188, logits_fake -0.0186,
Train Epoch: [2/5] Iters:[4760/20018] gen_loss 0.2963, rec_loss 0.0356, lpips_loss 0.2026, g_loss 0.0183, disc_weight 0.5000, disc_adaptive_weight 3.1783, d_loss 0.5004, logits_real -0.0183, logits_fake -0.0183,
Train Epoch: [2/5] Iters:[4770/20018] gen_loss 0.2970, rec_loss 0.0352, lpips_loss 0.2013, g_loss 0.0182, disc_weight 0.5000, disc_adaptive_weight 3.3165, d_loss 0.5004, logits_real -0.0181, logits_fake -0.0182,
Train Epoch: [2/5] Iters:[4780/20018] gen_loss 0.2977, rec_loss 0.0358, lpips_loss 0.2015, g_loss 0.0183, disc_weight 0.5000, disc_adaptive_weight 3.2945, d_loss 0.5003, logits_real -0.0180, logits_fake -0.0183,
Train Epoch: [2/5] Iters:[4790/20018] gen_loss 0.2994, rec_loss 0.0363, lpips_loss 0.2031, g_loss 0.0187, disc_weight 0.5000, disc_adaptive_weight 3.2183, d_loss 0.5003, logits_real -0.0184, logits_fake -0.0187,
Train Epoch: [2/5] Iters:[4800/20018] gen_loss 0.3004, rec_loss 0.0364, lpips_loss 0.2034, g_loss 0.0193, disc_weight 0.5000, disc_adaptive_weight 3.1493, d_loss 0.5003, logits_real -0.0190, logits_fake -0.0195,
Train Epoch: [2/5] Iters:[4810/20018] gen_loss 0.3016, rec_loss 0.0367, lpips_loss 0.2031, g_loss 0.0200, disc_weight 0.5000, disc_adaptive_weight 3.1092, d_loss 0.5002, logits_real -0.0197, logits_fake -0.0203,
Train Epoch: [2/5] Iters:[4820/20018] gen_loss 0.3034, rec_loss 0.0378, lpips_loss 0.2044, g_loss 0.0205, disc_weight 0.5000, disc_adaptive_weight 2.9951, d_loss 0.5002, logits_real -0.0201, logits_fake -0.0209,
Train Epoch: [2/5] Iters:[4830/20018] gen_loss 0.3060, rec_loss 0.0376, lpips_loss 0.2048, g_loss 0.0211, disc_weight 0.5000, disc_adaptive_weight 3.0064, d_loss 0.5002, logits_real -0.0207, logits_fake -0.0214,
Train Epoch: [2/5] Iters:[4840/20018] gen_loss 0.3065, rec_loss 0.0373, lpips_loss 0.2046, g_loss 0.0214, disc_weight 0.5000, disc_adaptive_weight 3.0163, d_loss 0.5002, logits_real -0.0211, logits_fake -0.0216,
Train Epoch: [2/5] Iters:[4850/20018] gen_loss 0.3102, rec_loss 0.0377, lpips_loss 0.2054, g_loss 0.0214, disc_weight 0.5000, disc_adaptive_weight 3.1333, d_loss 0.5003, logits_real -0.0211, logits_fake -0.0214,
Train Epoch: [2/5] Iters:[4860/20018] gen_loss 0.3128, rec_loss 0.0376, lpips_loss 0.2068, g_loss 0.0212, disc_weight 0.5000, disc_adaptive_weight 3.2082, d_loss 0.5003, logits_real -0.0208, logits_fake -0.0210,
Train Epoch: [2/5] Iters:[4870/20018] gen_loss 0.3111, rec_loss 0.0370, lpips_loss 0.2066, g_loss 0.0211, disc_weight 0.5000, disc_adaptive_weight 3.1899, d_loss 0.5004, logits_real -0.0206, logits_fake -0.0207,
Train Epoch: [2/5] Iters:[4880/20018] gen_loss 0.3072, rec_loss 0.0369, lpips_loss 0.2060, g_loss 0.0204, disc_weight 0.5000, disc_adaptive_weight 3.1323, d_loss 0.5003, logits_real -0.0202, logits_fake -0.0203,
Train Epoch: [2/5] Iters:[4890/20018] gen_loss 0.3053, rec_loss 0.0370, lpips_loss 0.2054, g_loss 0.0198, disc_weight 0.5000, disc_adaptive_weight 3.1497, d_loss 0.5003, logits_real -0.0196, logits_fake -0.0198,
Train Epoch: [2/5] Iters:[4900/20018] gen_loss 0.3022, rec_loss 0.0364, lpips_loss 0.2048, g_loss 0.0196, disc_weight 0.5000, disc_adaptive_weight 3.1081, d_loss 0.5004, logits_real -0.0195, logits_fake -0.0195,
Train Epoch: [2/5] Iters:[4910/20018] gen_loss 0.3024, rec_loss 0.0369, lpips_loss 0.2048, g_loss 0.0192, disc_weight 0.5000, disc_adaptive_weight 3.1582, d_loss 0.5004, logits_real -0.0194, logits_fake -0.0193,
Train Epoch: [2/5] Iters:[4920/20018] gen_loss 0.3015, rec_loss 0.0367, lpips_loss 0.2047, g_loss 0.0190, disc_weight 0.5000, disc_adaptive_weight 3.1591, d_loss 0.5004, logits_real -0.0194, logits_fake -0.0190,
Train Epoch: [2/5] Iters:[4930/20018] gen_loss 0.3028, rec_loss 0.0365, lpips_loss 0.2049, g_loss 0.0190, disc_weight 0.5000, disc_adaptive_weight 3.2242, d_loss 0.5004, logits_real -0.0192, logits_fake -0.0190,
Train Epoch: [2/5] Iters:[4940/20018] gen_loss 0.3038, rec_loss 0.0367, lpips_loss 0.2051, g_loss 0.0191, disc_weight 0.5000, disc_adaptive_weight 3.2465, d_loss 0.5004, logits_real -0.0192, logits_fake -0.0189,
Train Epoch: [2/5] Iters:[4950/20018] gen_loss 0.3055, rec_loss 0.0379, lpips_loss 0.2058, g_loss 0.0188, disc_weight 0.5000, disc_adaptive_weight 3.2711, d_loss 0.5004, logits_real -0.0191, logits_fake -0.0189,
Train Epoch: [2/5] Iters:[4960/20018] gen_loss 0.3022, rec_loss 0.0373, lpips_loss 0.2046, g_loss 0.0188, disc_weight 0.5000, disc_adaptive_weight 3.1848, d_loss 0.5004, logits_real -0.0189, logits_fake -0.0190,
Train Epoch: [2/5] Iters:[4970/20018] gen_loss 0.3035, rec_loss 0.0378, lpips_loss 0.2050, g_loss 0.0189, disc_weight 0.5000, disc_adaptive_weight 3.2022, d_loss 0.5003, logits_real -0.0187, logits_fake -0.0190,
Train Epoch: [2/5] Iters:[4980/20018] gen_loss 0.3036, rec_loss 0.0378, lpips_loss 0.2052, g_loss 0.0188, disc_weight 0.5000, disc_adaptive_weight 3.2124, d_loss 0.5004, logits_real -0.0188, logits_fake -0.0189,
Train Epoch: [2/5] Iters:[4990/20018] gen_loss 0.3037, rec_loss 0.0380, lpips_loss 0.2061, g_loss 0.0185, disc_weight 0.5000, disc_adaptive_weight 3.2085, d_loss 0.5004, logits_real -0.0187, logits_fake -0.0186,
Train Epoch: [2/5] Iters:[5000/20018] gen_loss 0.3023, rec_loss 0.0374, lpips_loss 0.2049, g_loss 0.0182, disc_weight 0.5000, disc_adaptive_weight 3.2963, d_loss 0.5004, logits_real -0.0183, logits_fake -0.0183,
Train Epoch: [2/5] Iters:[5010/20018] gen_loss 0.3022, rec_loss 0.0373, lpips_loss 0.2058, g_loss 0.0180, disc_weight 0.5000, disc_adaptive_weight 3.2888, d_loss 0.5004, logits_real -0.0181, logits_fake -0.0180,
Train Epoch: [2/5] Iters:[5020/20018] gen_loss 0.3020, rec_loss 0.0377, lpips_loss 0.2063, g_loss 0.0174, disc_weight 0.5000, disc_adaptive_weight 3.3407, d_loss 0.5004, logits_real -0.0177, logits_fake -0.0176,
Train Epoch: [2/5] Iters:[5030/20018] gen_loss 0.3006, rec_loss 0.0381, lpips_loss 0.2058, g_loss 0.0173, disc_weight 0.5000, disc_adaptive_weight 3.2864, d_loss 0.5004, logits_real -0.0175, logits_fake -0.0175,
Train Epoch: [2/5] Iters:[5040/20018] gen_loss 0.2992, rec_loss 0.0382, lpips_loss 0.2051, g_loss 0.0173, disc_weight 0.5000, disc_adaptive_weight 3.2497, d_loss 0.5003, logits_real -0.0173, logits_fake -0.0174,
Train Epoch: [2/5] Iters:[5050/20018] gen_loss 0.2961, rec_loss 0.0376, lpips_loss 0.2048, g_loss 0.0174, disc_weight 0.5000, disc_adaptive_weight 3.0978, d_loss 0.5003, logits_real -0.0174, logits_fake -0.0174,
Train Epoch: [2/5] Iters:[5060/20018] gen_loss 0.2934, rec_loss 0.0374, lpips_loss 0.2041, g_loss 0.0171, disc_weight 0.5000, disc_adaptive_weight 3.0423, d_loss 0.5004, logits_real -0.0172, logits_fake -0.0172,
Train Epoch: [2/5] Iters:[5070/20018] gen_loss 0.2911, rec_loss 0.0367, lpips_loss 0.2032, g_loss 0.0172, disc_weight 0.5000, disc_adaptive_weight 2.9821, d_loss 0.5004, logits_real -0.0171, logits_fake -0.0171,
Train Epoch: [2/5] Iters:[5080/20018] gen_loss 0.2920, rec_loss 0.0365, lpips_loss 0.2047, g_loss 0.0168, disc_weight 0.5000, disc_adaptive_weight 3.0160, d_loss 0.5003, logits_real -0.0168, logits_fake -0.0169,
Train Epoch: [2/5] Iters:[5090/20018] gen_loss 0.2921, rec_loss 0.0358, lpips_loss 0.2051, g_loss 0.0169, disc_weight 0.5000, disc_adaptive_weight 3.0297, d_loss 0.5003, logits_real -0.0167, logits_fake -0.0169,
Train Epoch: [2/5] Iters:[5100/20018] gen_loss 0.2939, rec_loss 0.0359, lpips_loss 0.2048, g_loss 0.0170, disc_weight 0.5000, disc_adaptive_weight 3.1207, d_loss 0.5003, logits_real -0.0167, logits_fake -0.0169,
Train Epoch: [2/5] Iters:[5110/20018] gen_loss 0.2958, rec_loss 0.0365, lpips_loss 0.2050, g_loss 0.0172, disc_weight 0.5000, disc_adaptive_weight 3.1478, d_loss 0.5003, logits_real -0.0168, logits_fake -0.0170,
Train Epoch: [2/5] Iters:[5120/20018] gen_loss 0.2945, rec_loss 0.0362, lpips_loss 0.2041, g_loss 0.0175, disc_weight 0.5000, disc_adaptive_weight 3.0967, d_loss 0.5003, logits_real -0.0172, logits_fake -0.0173,
Train Epoch: [2/5] Iters:[5130/20018] gen_loss 0.2956, rec_loss 0.0367, lpips_loss 0.2041, g_loss 0.0176, disc_weight 0.5000, disc_adaptive_weight 3.1200, d_loss 0.5003, logits_real -0.0173, logits_fake -0.0174,
Train Epoch: [2/5] Iters:[5140/20018] gen_loss 0.2956, rec_loss 0.0374, lpips_loss 0.2038, g_loss 0.0175, disc_weight 0.5000, disc_adaptive_weight 3.1087, d_loss 0.5003, logits_real -0.0173, logits_fake -0.0174,
Train Epoch: [2/5] Iters:[5150/20018] gen_loss 0.2945, rec_loss 0.0376, lpips_loss 0.2049, g_loss 0.0173, disc_weight 0.5000, disc_adaptive_weight 3.0115, d_loss 0.5003, logits_real -0.0171, logits_fake -0.0174,
Train Epoch: [2/5] Iters:[5160/20018] gen_loss 0.2933, rec_loss 0.0373, lpips_loss 0.2048, g_loss 0.0172, disc_weight 0.5000, disc_adaptive_weight 2.9820, d_loss 0.5002, logits_real -0.0169, logits_fake -0.0174,
Train Epoch: [2/5] Iters:[5170/20018] gen_loss 0.2918, rec_loss 0.0369, lpips_loss 0.2044, g_loss 0.0171, disc_weight 0.5000, disc_adaptive_weight 2.9494, d_loss 0.5002, logits_real -0.0168, logits_fake -0.0173,
Train Epoch: [2/5] Iters:[5180/20018] gen_loss 0.2901, rec_loss 0.0364, lpips_loss 0.2040, g_loss 0.0173, disc_weight 0.5000, disc_adaptive_weight 2.8873, d_loss 0.5002, logits_real -0.0168, logits_fake -0.0173,
Train Epoch: [2/5] Iters:[5190/20018] gen_loss 0.2902, rec_loss 0.0364, lpips_loss 0.2033, g_loss 0.0173, disc_weight 0.5000, disc_adaptive_weight 2.9153, d_loss 0.5002, logits_real -0.0168, logits_fake -0.0174,
Train Epoch: [2/5] Iters:[5200/20018] gen_loss 0.2934, rec_loss 0.0364, lpips_loss 0.2034, g_loss 0.0176, disc_weight 0.5000, disc_adaptive_weight 3.0429, d_loss 0.5002, logits_real -0.0171, logits_fake -0.0176,
Train Epoch: [2/5] Iters:[5210/20018] gen_loss 0.2948, rec_loss 0.0370, lpips_loss 0.2035, g_loss 0.0175, disc_weight 0.5000, disc_adaptive_weight 3.1089, d_loss 0.5003, logits_real -0.0171, logits_fake -0.0175,
Train Epoch: [2/5] Iters:[5220/20018] gen_loss 0.2971, rec_loss 0.0374, lpips_loss 0.2043, g_loss 0.0174, disc_weight 0.5000, disc_adaptive_weight 3.1849, d_loss 0.5003, logits_real -0.0171, logits_fake -0.0176,
Train Epoch: [2/5] Iters:[5230/20018] gen_loss 0.2976, rec_loss 0.0373, lpips_loss 0.2034, g_loss 0.0172, disc_weight 0.5000, disc_adaptive_weight 3.3036, d_loss 0.5003, logits_real -0.0172, logits_fake -0.0175,
Train Epoch: [2/5] Iters:[5240/20018] gen_loss 0.2964, rec_loss 0.0372, lpips_loss 0.2039, g_loss 0.0170, disc_weight 0.5000, disc_adaptive_weight 3.2474, d_loss 0.5003, logits_real -0.0171, logits_fake -0.0175,
Train Epoch: [2/5] Iters:[5250/20018] gen_loss 0.2930, rec_loss 0.0370, lpips_loss 0.2033, g_loss 0.0167, disc_weight 0.5000, disc_adaptive_weight 3.1675, d_loss 0.5003, logits_real -0.0168, logits_fake -0.0172,
Train Epoch: [2/5] Iters:[5260/20018] gen_loss 0.2929, rec_loss 0.0365, lpips_loss 0.2038, g_loss 0.0169, disc_weight 0.5000, disc_adaptive_weight 3.1160, d_loss 0.5004, logits_real -0.0169, logits_fake -0.0170,
Train Epoch: [2/5] Iters:[5270/20018] gen_loss 0.2936, rec_loss 0.0368, lpips_loss 0.2051, g_loss 0.0167, disc_weight 0.5000, disc_adaptive_weight 3.1071, d_loss 0.5004, logits_real -0.0169, logits_fake -0.0166,
Train Epoch: [2/5] Iters:[5280/20018] gen_loss 0.2925, rec_loss 0.0368, lpips_loss 0.2054, g_loss 0.0168, disc_weight 0.5000, disc_adaptive_weight 3.0089, d_loss 0.5004, logits_real -0.0166, logits_fake -0.0165,
Train Epoch: [2/5] Iters:[5290/20018] gen_loss 0.2930, rec_loss 0.0373, lpips_loss 0.2058, g_loss 0.0168, disc_weight 0.5000, disc_adaptive_weight 2.9738, d_loss 0.5004, logits_real -0.0165, logits_fake -0.0165,
Train Epoch: [2/5] Iters:[5300/20018] gen_loss 0.2948, rec_loss 0.0375, lpips_loss 0.2057, g_loss 0.0173, disc_weight 0.5000, disc_adaptive_weight 2.9867, d_loss 0.5004, logits_real -0.0170, logits_fake -0.0168,
Train Epoch: [2/5] Iters:[5310/20018] gen_loss 0.2958, rec_loss 0.0376, lpips_loss 0.2055, g_loss 0.0175, disc_weight 0.5000, disc_adaptive_weight 3.0131, d_loss 0.5003, logits_real -0.0170, logits_fake -0.0174,
Train Epoch: [2/5] Iters:[5320/20018] gen_loss 0.2961, rec_loss 0.0372, lpips_loss 0.2041, g_loss 0.0179, disc_weight 0.5000, disc_adaptive_weight 3.0466, d_loss 0.5003, logits_real -0.0174, logits_fake -0.0179,
Train Epoch: [2/5] Iters:[5330/20018] gen_loss 0.2986, rec_loss 0.0377, lpips_loss 0.2044, g_loss 0.0181, disc_weight 0.5000, disc_adaptive_weight 3.0991, d_loss 0.5003, logits_real -0.0178, logits_fake -0.0183,
Train Epoch: [2/5] Iters:[5340/20018] gen_loss 0.2996, rec_loss 0.0372, lpips_loss 0.2033, g_loss 0.0185, disc_weight 0.5000, disc_adaptive_weight 3.1748, d_loss 0.5003, logits_real -0.0185, logits_fake -0.0188,
Train Epoch: [2/5] Iters:[5350/20018] gen_loss 0.3014, rec_loss 0.0368, lpips_loss 0.2038, g_loss 0.0187, disc_weight 0.5000, disc_adaptive_weight 3.2390, d_loss 0.5003, logits_real -0.0185, logits_fake -0.0189,
Train Epoch: [2/5] Iters:[5360/20018] gen_loss 0.3014, rec_loss 0.0364, lpips_loss 0.2025, g_loss 0.0186, disc_weight 0.5000, disc_adaptive_weight 3.3422, d_loss 0.5003, logits_real -0.0188, logits_fake -0.0189,
Train Epoch: [2/5] Iters:[5370/20018] gen_loss 0.3029, rec_loss 0.0368, lpips_loss 0.2028, g_loss 0.0186, disc_weight 0.5000, disc_adaptive_weight 3.3943, d_loss 0.5003, logits_real -0.0187, logits_fake -0.0188,
Train Epoch: [2/5] Iters:[5380/20018] gen_loss 0.3001, rec_loss 0.0359, lpips_loss 0.2019, g_loss 0.0184, disc_weight 0.5000, disc_adaptive_weight 3.3694, d_loss 0.5004, logits_real -0.0187, logits_fake -0.0187,
Train Epoch: [2/5] Iters:[5390/20018] gen_loss 0.2985, rec_loss 0.0353, lpips_loss 0.2016, g_loss 0.0182, disc_weight 0.5000, disc_adaptive_weight 3.3831, d_loss 0.5003, logits_real -0.0184, logits_fake -0.0185,
Train Epoch: [2/5] Iters:[5400/20018] gen_loss 0.2988, rec_loss 0.0360, lpips_loss 0.2018, g_loss 0.0180, disc_weight 0.5000, disc_adaptive_weight 3.3998, d_loss 0.5004, logits_real -0.0183, logits_fake -0.0181,
Train Epoch: [2/5] Iters:[5410/20018] gen_loss 0.2982, rec_loss 0.0368, lpips_loss 0.2028, g_loss 0.0178, disc_weight 0.5000, disc_adaptive_weight 3.2968, d_loss 0.5004, logits_real -0.0180, logits_fake -0.0178,
Train Epoch: [2/5] Iters:[5420/20018] gen_loss 0.2963, rec_loss 0.0365, lpips_loss 0.2035, g_loss 0.0175, disc_weight 0.5000, disc_adaptive_weight 3.2122, d_loss 0.5004, logits_real -0.0177, logits_fake -0.0176,
Train Epoch: [2/5] Iters:[5430/20018] gen_loss 0.2989, rec_loss 0.0373, lpips_loss 0.2051, g_loss 0.0171, disc_weight 0.5000, disc_adaptive_weight 3.3054, d_loss 0.5004, logits_real -0.0173, logits_fake -0.0171,
Train Epoch: [2/5] Iters:[5440/20018] gen_loss 0.2998, rec_loss 0.0379, lpips_loss 0.2063, g_loss 0.0168, disc_weight 0.5000, disc_adaptive_weight 3.3044, d_loss 0.5005, logits_real -0.0170, logits_fake -0.0167,
Train Epoch: [2/5] Iters:[5450/20018] gen_loss 0.2959, rec_loss 0.0375, lpips_loss 0.2053, g_loss 0.0166, disc_weight 0.5000, disc_adaptive_weight 3.2133, d_loss 0.5004, logits_real -0.0166, logits_fake -0.0168,
Train Epoch: [2/5] Iters:[5460/20018] gen_loss 0.2948, rec_loss 0.0368, lpips_loss 0.2044, g_loss 0.0167, disc_weight 0.5000, disc_adaptive_weight 3.2329, d_loss 0.5004, logits_real -0.0165, logits_fake -0.0167,
Train Epoch: [2/5] Iters:[5470/20018] gen_loss 0.2947, rec_loss 0.0369, lpips_loss 0.2041, g_loss 0.0168, disc_weight 0.5000, disc_adaptive_weight 3.2111, d_loss 0.5003, logits_real -0.0166, logits_fake -0.0169,
Train Epoch: [2/5] Iters:[5480/20018] gen_loss 0.2943, rec_loss 0.0360, lpips_loss 0.2029, g_loss 0.0171, disc_weight 0.5000, disc_adaptive_weight 3.2480, d_loss 0.5003, logits_real -0.0169, logits_fake -0.0172,
Train Epoch: [2/5] Iters:[5490/20018] gen_loss 0.2927, rec_loss 0.0358, lpips_loss 0.2022, g_loss 0.0170, disc_weight 0.5000, disc_adaptive_weight 3.2210, d_loss 0.5003, logits_real -0.0169, logits_fake -0.0172,
Train Epoch: [2/5] Iters:[5500/20018] gen_loss 0.2924, rec_loss 0.0356, lpips_loss 0.2029, g_loss 0.0169, disc_weight 0.5000, disc_adaptive_weight 3.1792, d_loss 0.5003, logits_real -0.0166, logits_fake -0.0168,
Train Epoch: [2/5] Iters:[5510/20018] gen_loss 0.2909, rec_loss 0.0357, lpips_loss 0.2037, g_loss 0.0165, disc_weight 0.5000, disc_adaptive_weight 3.1257, d_loss 0.5003, logits_real -0.0161, logits_fake -0.0164,
Train Epoch: [2/5] Iters:[5520/20018] gen_loss 0.2898, rec_loss 0.0355, lpips_loss 0.2039, g_loss 0.0160, disc_weight 0.5000, disc_adaptive_weight 3.1566, d_loss 0.5003, logits_real -0.0157, logits_fake -0.0159,
Train Epoch: [2/5] Iters:[5530/20018] gen_loss 0.2874, rec_loss 0.0362, lpips_loss 0.2045, g_loss 0.0157, disc_weight 0.5000, disc_adaptive_weight 2.9927, d_loss 0.5004, logits_real -0.0155, logits_fake -0.0153,
Train Epoch: [2/5] Iters:[5540/20018] gen_loss 0.2869, rec_loss 0.0356, lpips_loss 0.2044, g_loss 0.0155, disc_weight 0.5000, disc_adaptive_weight 3.0272, d_loss 0.5004, logits_real -0.0152, logits_fake -0.0151,
Train Epoch: [2/5] Iters:[5550/20018] gen_loss 0.2882, rec_loss 0.0365, lpips_loss 0.2056, g_loss 0.0150, disc_weight 0.5000, disc_adaptive_weight 3.0774, d_loss 0.5004, logits_real -0.0149, logits_fake -0.0146,
Train Epoch: [2/5] Iters:[5560/20018] gen_loss 0.2884, rec_loss 0.0369, lpips_loss 0.2059, g_loss 0.0148, disc_weight 0.5000, disc_adaptive_weight 3.0797, d_loss 0.5004, logits_real -0.0148, logits_fake -0.0144,
Train Epoch: [2/5] Iters:[5570/20018] gen_loss 0.2877, rec_loss 0.0368, lpips_loss 0.2058, g_loss 0.0149, disc_weight 0.5000, disc_adaptive_weight 3.0320, d_loss 0.5005, logits_real -0.0147, logits_fake -0.0143,
Train Epoch: [2/5] Iters:[5580/20018] gen_loss 0.2869, rec_loss 0.0369, lpips_loss 0.2059, g_loss 0.0144, disc_weight 0.5000, disc_adaptive_weight 3.0529, d_loss 0.5004, logits_real -0.0143, logits_fake -0.0141,
Train Epoch: [2/5] Iters:[5590/20018] gen_loss 0.2861, rec_loss 0.0373, lpips_loss 0.2054, g_loss 0.0145, disc_weight 0.5000, disc_adaptive_weight 3.0135, d_loss 0.5003, logits_real -0.0142, logits_fake -0.0142,
Train Epoch: [2/5] Iters:[5600/20018] gen_loss 0.2859, rec_loss 0.0370, lpips_loss 0.2044, g_loss 0.0148, disc_weight 0.5000, disc_adaptive_weight 3.0179, d_loss 0.5004, logits_real -0.0148, logits_fake -0.0146,
Train Epoch: [2/5] Iters:[5610/20018] gen_loss 0.2862, rec_loss 0.0366, lpips_loss 0.2034, g_loss 0.0152, disc_weight 0.5000, disc_adaptive_weight 3.0582, d_loss 0.5004, logits_real -0.0152, logits_fake -0.0151,
Train Epoch: [2/5] Iters:[5620/20018] gen_loss 0.2887, rec_loss 0.0375, lpips_loss 0.2035, g_loss 0.0155, disc_weight 0.5000, disc_adaptive_weight 3.0830, d_loss 0.5003, logits_real -0.0154, logits_fake -0.0154,
Train Epoch: [2/5] Iters:[5630/20018] gen_loss 0.2916, rec_loss 0.0374, lpips_loss 0.2036, g_loss 0.0160, disc_weight 0.5000, disc_adaptive_weight 3.1570, d_loss 0.5003, logits_real -0.0160, logits_fake -0.0162,
Train Epoch: [2/5] Iters:[5640/20018] gen_loss 0.2932, rec_loss 0.0375, lpips_loss 0.2046, g_loss 0.0163, disc_weight 0.5000, disc_adaptive_weight 3.1301, d_loss 0.5004, logits_real -0.0164, logits_fake -0.0164,
Train Epoch: [2/5] Iters:[5650/20018] gen_loss 0.2944, rec_loss 0.0373, lpips_loss 0.2058, g_loss 0.0165, disc_weight 0.5000, disc_adaptive_weight 3.1123, d_loss 0.5003, logits_real -0.0164, logits_fake -0.0166,
Train Epoch: [2/5] Iters:[5660/20018] gen_loss 0.2966, rec_loss 0.0379, lpips_loss 0.2076, g_loss 0.0165, disc_weight 0.5000, disc_adaptive_weight 3.1053, d_loss 0.5003, logits_real -0.0164, logits_fake -0.0166,
Train Epoch: [2/5] Iters:[5670/20018] gen_loss 0.2933, rec_loss 0.0367, lpips_loss 0.2061, g_loss 0.0164, disc_weight 0.5000, disc_adaptive_weight 3.0860, d_loss 0.5003, logits_real -0.0165, logits_fake -0.0165,
Train Epoch: [2/5] Iters:[5680/20018] gen_loss 0.2907, rec_loss 0.0365, lpips_loss 0.2048, g_loss 0.0165, disc_weight 0.5000, disc_adaptive_weight 3.0043, d_loss 0.5003, logits_real -0.0163, logits_fake -0.0164,
Train Epoch: [2/5] Iters:[5690/20018] gen_loss 0.2904, rec_loss 0.0369, lpips_loss 0.2041, g_loss 0.0163, disc_weight 0.5000, disc_adaptive_weight 3.0352, d_loss 0.5004, logits_real -0.0162, logits_fake -0.0162,
Train Epoch: [2/5] Iters:[5700/20018] gen_loss 0.2890, rec_loss 0.0367, lpips_loss 0.2028, g_loss 0.0163, disc_weight 0.5000, disc_adaptive_weight 3.0309, d_loss 0.5003, logits_real -0.0162, logits_fake -0.0162,
Train Epoch: [2/5] Iters:[5710/20018] gen_loss 0.2862, rec_loss 0.0357, lpips_loss 0.2012, g_loss 0.0163, disc_weight 0.5000, disc_adaptive_weight 3.0225, d_loss 0.5004, logits_real -0.0161, logits_fake -0.0161,
Train Epoch: [2/5] Iters:[5720/20018] gen_loss 0.2879, rec_loss 0.0362, lpips_loss 0.2027, g_loss 0.0164, disc_weight 0.5000, disc_adaptive_weight 2.9955, d_loss 0.5003, logits_real -0.0159, logits_fake -0.0163,
Train Epoch: [2/5] Iters:[5730/20018] gen_loss 0.2903, rec_loss 0.0362, lpips_loss 0.2032, g_loss 0.0166, disc_weight 0.5000, disc_adaptive_weight 3.0662, d_loss 0.5003, logits_real -0.0163, logits_fake -0.0165,
